其他花類	FA0
黃秋葵	FA1
樊花	FA2
瓊花	FA4
百果(進口)	FA9
花椰菜	FB
胡瓜	FC
花胡瓜	FD
冬瓜	FE
絲瓜	FF
苦瓜	FG
扁蒲	FH
茄子	FI
番茄	FJ
甜椒	FK
豌豆	FL
菜豆	FM
敏豆	FN
蠶豆	FO
萊豆	FP
毛豆	FQ
青花苔	FR
越瓜	FS
南瓜	FT
準人瓜	FU
石蓮花	FU3
辣椒	FV
金針花	FW
洛神花	FW2
花豆	FX1
虎豆(福豆)	FX2
玉米	FY
落花生	FZ
甘藍	LA
小白菜	LB
包心白	LC
青江白菜	LD
皇宮菜	LE
蕹菜	LF
芹菜	LG
菠菱菜	LH
萵苣菜	LI
芥菜	LJ
芥藍菜	LK
茼蒿	LL
莧菜	LM
油菜	LN
甘薯葉	LO
芫荽	LP
九層塔	LP2
紅鳳菜	LQ
塌棵塔	LR
茴香	LS
海菜	LT
水蓮	LT3
菾菜	LU
巴西利	LV
蕨菜	LX
西洋菜	LY1
黑甜仔菜	LY2
豬母菜	LY3
人參葉	LY4
珍珠菜	LY5
香椿	LY6
薺菜	LZ
洋菇	MA
草菇	MB
木耳	MC
香菇	MD
金絲菇	ME
蠔菇	MF
白菇	MG
松茸	MH
秀珍菇	MI
杏鮑菇	MJ
鴻禧菇	MK
珊瑚菇	ML
猴頭菇	MM
柳松菇	MN
其他菇類	MX
鹹菜	OA
雪里紅	OB
榨菜	OC
蘿蔔乾	OD
醃瓜	OE
熟筍	OG
桶筍	OH
筍乾	OI1
筍絲	OI2
筍片	OI3
筍茸	OI4
朴菜	OL
其他	OX
蘿蔔	SA
胡蘿蔔	SB
馬鈴薯	SC
洋蔥	SD
青蔥	SE
韭菜	SF
韭菜(韭菜黃)	SF2
韭菜(韭菜花)	SF3
大蒜	SG
竹筍(麻竹筍)	SH1
竹筍(綠竹筍)	SH2
竹筍(桂竹筍)	SH3
竹筍(孟宗筍)	SH4
竹筍(烏殼綠)	SH5
竹筍(箭竹筍)	SH6
竹筍(去殼)	SH7
竹筍(進口)	SH9
萵苣莖	SI
芋	SJ
荸薺	SK
豆薯	SL1
菊芋(雪蓮薯)	SL2
牛蒡	SM
蓮藕	SN
甘薯	SO
薑	SP
茭白筍	SQ
菱角	SR
大心菜	SS
蕎頭	ST
薯蕷	SU
蘆筍	SV
球莖甘藍	SW
芽菜類	SX
慈菇	SY
半天筍	SZ1
甘蔗筍	SZ2
金針筍	SZ3
百合	SZ4
草石蠶	SZ5
半天花	SZ6
其他	ZZ
